location,time_period,disease_cases
ICSVN3EZGcy,202205,1.0
ICSVN3EZGcy,202206,0.0
ICSVN3EZGcy,202207,3.0
ICSVN3EZGcy,202208,3.0
ICSVN3EZGcy,202209,77.0
ICSVN3EZGcy,202210,150.0
ICSVN3EZGcy,202211,31.0
ICSVN3EZGcy,202212,10.0
ICSVN3EZGcy,202301,2.0
ICSVN3EZGcy,202302,0.0
ICSVN3EZGcy,202303,0.0
ICSVN3EZGcy,202304,2.0
ICSVN3EZGcy,202305,2.0
ICSVN3EZGcy,202306,1.0
ICSVN3EZGcy,202307,1.0
ICSVN3EZGcy,202308,9.0
ICSVN3EZGcy,202309,14.0
ICSVN3EZGcy,202310,35.0
ICSVN3EZGcy,202311,3.0
ICSVN3EZGcy,202312,0.0
ICSVN3EZGcy,202401,1.0
ICSVN3EZGcy,202402,0.0
ICSVN3EZGcy,202403,2.0
ICSVN3EZGcy,202404,1.0
ICSVN3EZGcy,202405,2.0
ICSVN3EZGcy,202406,3.0
ICSVN3EZGcy,202407,22.0
ICSVN3EZGcy,202408,620.0
ICSVN3EZGcy,202409,658.0
ICSVN3EZGcy,202410,421.0
ICSVN3EZGcy,202411,121.0
ICSVN3EZGcy,202412,0.0
IOHIfpVUJGp,202201,0.0
IOHIfpVUJGp,202202,0.0
IOHIfpVUJGp,202203,0.0
IOHIfpVUJGp,202204,0.0
IOHIfpVUJGp,202205,0.0
IOHIfpVUJGp,202206,0.0
IOHIfpVUJGp,202207,0.0
IOHIfpVUJGp,202208,10.0
IOHIfpVUJGp,202209,56.0
IOHIfpVUJGp,202210,32.0
IOHIfpVUJGp,202211,6.0
IOHIfpVUJGp,202212,2.0
IOHIfpVUJGp,202301,2.0
IOHIfpVUJGp,202302,0.0
IOHIfpVUJGp,202303,0.0
IOHIfpVUJGp,202304,1.0
IOHIfpVUJGp,202305,0.0
IOHIfpVUJGp,202306,0.0
IOHIfpVUJGp,202307,0.0
IOHIfpVUJGp,202308,4.0
IOHIfpVUJGp,202309,16.0
IOHIfpVUJGp,202310,14.0
IOHIfpVUJGp,202311,0.0
IOHIfpVUJGp,202312,0.0
IOHIfpVUJGp,202401,0.0
IOHIfpVUJGp,202402,1.0
IOHIfpVUJGp,202403,2.0
IOHIfpVUJGp,202404,2.0
IOHIfpVUJGp,202405,1.0
IOHIfpVUJGp,202406,0.0
IOHIfpVUJGp,202407,3.0
IOHIfpVUJGp,202408,4.0
IOHIfpVUJGp,202409,29.0
IOHIfpVUJGp,202410,47.0
IOHIfpVUJGp,202411,19.0
IOHIfpVUJGp,202412,0.0
Iqy9A4jXY9l,202201,0.0
Iqy9A4jXY9l,202202,0.0
Iqy9A4jXY9l,202203,0.0
Iqy9A4jXY9l,202204,0.0
Iqy9A4jXY9l,202205,0.0
Iqy9A4jXY9l,202206,0.0
Iqy9A4jXY9l,202207,1.0
Iqy9A4jXY9l,202208,5.0
Iqy9A4jXY9l,202209,80.0
Iqy9A4jXY9l,202210,105.0
Iqy9A4jXY9l,202211,20.0
Iqy9A4jXY9l,202212,7.0
Iqy9A4jXY9l,202301,1.0
Iqy9A4jXY9l,202302,0.0
Iqy9A4jXY9l,202303,0.0
Iqy9A4jXY9l,202304,0.0
Iqy9A4jXY9l,202305,0.0
Iqy9A4jXY9l,202306,2.0
Iqy9A4jXY9l,202307,0.0
Iqy9A4jXY9l,202308,24.0
Iqy9A4jXY9l,202309,21.0
Iqy9A4jXY9l,202310,428.0
Iqy9A4jXY9l,202311,21.0
