time_period,location,disease_cases
202204,ICSVN3EZGcy,0.0
202204,IOHIfpVUJGp,0.0
202204,Iqy9A4jXY9l,0.0
202204,JBTkOU5m0Bu,0.0
202204,JH8RPnwv8kB,0.0
202204,LnJ8MTOmgGa,0.0
202204,N7ioObCpMP3,0.0
202204,NSLL7YIXBJH,0.0
202204,O5p5idrXdiw,1.0
202204,P53hVYydxdc,0.0
202204,PUPCyKcUwlS,0.0
202204,PdRpVxkVd9a,0.0
202204,QfZ2pVPRFmz,0.0
202204,QzI3Btz60Ne,0.0
202204,RSAZqrdfXy5,1.0
202204,RZxElQxEbZN,0.0
202204,S8J6p6tGXNb,0.0
202204,SJQ2e9HUvaG,0.0
202204,U8Rk7sYzFmK,0.0
202204,VoOb1wMwKp0,0.0
202204,Wep3D4POB3H,0.0
202204,WfE2smSUNDt,0.0
202204,Yacp1fLlWut,0.0
202204,YmFSl06J6cs,0.0
202204,YnUoe8z0OJY,0.0
202204,ZIo35uAAfZo,1.0
202204,ZULmwVN4Zfv,0.0
202204,ZVmULoI6vcV,0.0
202204,bWmwn3sMsG0,2.0
202204,bX87SmYR3TJ,0.0
202204,bjS2Lp3tLxv,0.0
202204,cMWLZfK0O4z,1.0
202204,eW2b8SUYRWt,0.0
202204,ebbAyOhorzo,0.0
202204,elOK8Y2b3Qn,0.0
202204,ewPc6zXy53n,0.0
202204,gannbFbizVo,1.0
202204,grMJpaDdSrD,0.0
202204,hasbXH0dTqM,0.0
202204,i6gMyoP9ReK,0.0
202204,iqLM1XBMxyu,1.0
202204,j0gE31YxwHQ,
202204,j4HVtKmVtwQ,0.0
202204,jJmNryYp6Mc,0.0
202204,kBRVmS9IKRE,3.0
202204,kfrKchZfqGr,0.0
202204,l8tZrJ55yzg,0.0
202204,mMGyx6JG7wj,0.0
202204,q7VB2VrUr83,1.0
202204,qoayxucpZqH,0.0
202204,rsZaqJl5R0A,0.0
202204,t9XsLKdMwA1,0.0
202204,tSE6ctwvZmP,0.0
202204,uHEl9oRZm8L,1.0
202204,uyGkoQ4F9rT,0.0
202204,vjL1uSC10Jh,0.0
202204,wYKHZ0iyjfd,4.0
202204,xGQwwqLQ819,0.0
202204,yP2GELa6inf,0.0
202204,ycBkX3TlIrL,0.0
202204,zkFZKX5RX1A,0.0
202205,A3R7UT64jHf,1.0
202205,A3TeVhjjS2u,0.0
202205,B7X957nA1lM,0.0
202205,BITtrV4c0xf,0.0
202205,BdLcDbLQd88,0.0
202205,BywOwm8jUhf,0.0
202205,CNFRaFUfLjo,1.0
202205,D51gR5DC5vt,0.0
202205,DLyaDAF00hm,0.0
202205,EXKX4gJ9D6Y,2.0
202205,F5xI4hl77mT,0.0
202205,Fh294RrB7an,0.0
202205,GnpIwWbdxdl,1.0
202205,HL5fSUsp2vJ,0.0
202205,HfIRB3HRHvk,0.0
202205,HkwA8YQgJK6,0.0
202205,ICSVN3EZGcy,1.0
202205,IOHIfpVUJGp,0.0
202205,Iqy9A4jXY9l,0.0
202205,JBTkOU5m0Bu,0.0
202205,JH8RPnwv8kB,0.0
202205,LnJ8MTOmgGa,1.0
202205,N7ioObCpMP3,0.0
202205,NSLL7YIXBJH,0.0
202205,O5p5idrXdiw,0.0
202205,P53hVYydxdc,0.0
202205,PUPCyKcUwlS,0.0
202205,PdRpVxkVd9a,0.0
202205,QfZ2pVPRFmz,0.0
202205,QzI3Btz60Ne,0.0
202205,RSAZqrdfXy5,0.0
202205,RZxElQxEbZN,0.0
