time_period,location,disease_cases
2022-05,HfIRB3HRHvk,0
2022-05,HkwA8YQgJK6,0
2022-05,ICSVN3EZGcy,1
2022-05,IOHIfpVUJGp,0
2022-05,Iqy9A4jXY9l,0
2022-05,JBTkOU5m0Bu,0
2022-05,JH8RPnwv8kB,0
2022-05,LnJ8MTOmgGa,1
2022-05,N7ioObCpMP3,0
2022-05,NSLL7YIXBJH,0
2022-05,O5p5idrXdiw,0
2022-05,P53hVYydxdc,0
2022-05,PUPCyKcUwlS,0
2022-05,PdRpVxkVd9a,0
2022-05,QfZ2pVPRFmz,0
2022-05,QzI3Btz60Ne,0
2022-05,RSAZqrdfXy5,0
2022-05,RZxElQxEbZN,0
2022-05,S8J6p6tGXNb,0
2022-05,SJQ2e9HUvaG,0
2022-05,U8Rk7sYzFmK,0
2022-05,VoOb1wMwKp0,1
2022-05,Wep3D4POB3H,0
2022-05,WfE2smSUNDt,2
2022-05,Yacp1fLlWut,0
2022-05,YmFSl06J6cs,0
2022-05,YnUoe8z0OJY,0
2022-05,ZIo35uAAfZo,0
2022-05,ZULmwVN4Zfv,0
2022-05,ZVmULoI6vcV,0
2022-05,bWmwn3sMsG0,0
2022-05,bX87SmYR3TJ,0
2022-05,bjS2Lp3tLxv,1
2022-05,cMWLZfK0O4z,0
2022-05,eW2b8SUYRWt,0
2022-05,ebbAyOhorzo,0
2022-05,elOK8Y2b3Qn,1
2022-05,ewPc6zXy53n,0
2022-05,gannbFbizVo,0
2022-05,grMJpaDdSrD,0
2022-05,hasbXH0dTqM,0
2022-05,i6gMyoP9ReK,0
2022-05,iqLM1XBMxyu,0
2022-05,j0gE31YxwHQ,0
2022-05,j4HVtKmVtwQ,2
2022-05,jJmNryYp6Mc,0
2022-05,kBRVmS9IKRE,2
2022-05,kfrKchZfqGr,0
2022-05,l8tZrJ55yzg,0
2022-05,mMGyx6JG7wj,0
2022-05,q7VB2VrUr83,0
2022-05,qoayxucpZqH,0
2022-05,rsZaqJl5R0A,0
2022-05,t9XsLKdMwA1,2
2022-05,tSE6ctwvZmP,0
2022-05,uHEl9oRZm8L,0
2022-05,uyGkoQ4F9rT,0
2022-05,vjL1uSC10Jh,1
2022-05,wYKHZ0iyjfd,6
2022-05,xGQwwqLQ819,0
2022-05,yP2GELa6inf,0
